,,,,,
Tabela com Modelos e Prompts utilizados para gerações,,,,,
Modelo,Prompt,Resultado,Personagen/Objeto,Observação,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D top-down/side-view hybrid roguelike game, matching the style of Hacking Survivors: dark 90s computer simulation, green terminal glitches, corrupted lunar colony technology, crisp pixel edges, limited color palette, readable silhouette, no blur, no painterly shading, no realistic rendering.

The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking/moving to the right.
Frame 3: finishing the walking/moving step to the right.

Transparent background. Full body visible. Consistent character size and proportions across all frames. The character must face and move to the right, because the left movement will be created by flipping the sprite in Unity. Do not add text, labels, UI, shadows, scenery, or extra characters.

* Using the base instructions, generate a sprite sheet for ""Processing Leech"", a parasitic corrupted data creature. Orange and amber glowing core, black cable tentacles, small metallic shell fragments, green code scars, leech-like body floating or crawling low. It should feel like it drains processing power from nearby enemies. Frames should show tentacles shifting as it moves to the right.",https://drive.google.com/file/d/11zYGkO4yoNFzt1R0-Q0pMkHNmdifwJ3v/view?usp=drive_link,Sprite Sheet inimigo: Leech de Processamento,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D top-down/side-view hybrid roguelike game, matching the style of Hacking Survivors: dark 90s computer simulation, green terminal glitches, corrupted lunar colony technology, crisp pixel edges, limited color palette, readable silhouette, no blur, no painterly shading, no realistic rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking/moving to the right.
Frame 3: finishing the walking/moving step to the right.


Transparent background. Full body visible. Consistent character size and proportions across all frames. The character must face and move to the right, because the left movement will be created by flipping the sprite in Unity. Do not add text, labels, UI, shadows, scenery, or extra characters.


* Using the base instructions, generate a sprite sheet for ""Architect Proxy"", an alien simulation administrator avatar. Tall humanoid silhouette, elegant but unsettling, dark purple digital robe or armor, angular alien mask, violet/cyan highlights, green code running like seams across the body. It should not resemble Rex or a normal human. Walking frames should feel controlled, precise, and unnatural.
",https://drive.google.com/file/d/1im1VGVG58BmXq6RW-LhaK7089Def-chG/view?usp=drive_link,Sprite Sheet inimigo: Proxy dos Arquitetos,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D top-down/side-view hybrid roguelike game, matching the style of Hacking Survivors: dark 90s computer simulation, green terminal glitches, corrupted lunar colony technology, crisp pixel edges, limited color palette, readable silhouette, no blur, no painterly shading, no realistic rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking/moving to the right.
Frame 3: finishing the walking/moving step to the right.


Transparent background. Full body visible. Consistent character size and proportions across all frames. The character must face and move to the right, because the left movement will be created by flipping the sprite in Unity. Do not add text, labels, UI, shadows, scenery, or extra characters.


* Using the base instructions, generate a sprite sheet for ""Corrupted Rover"", a small lunar rover vehicle possessed by the simulation. Gray moon rover chassis, six rugged wheels, antenna, cracked camera eye glowing green, damaged solar panel, black-green corrupted code spreading over the metal. The 3 frames should show it driving to the right, with wheel positions changing between frames.",https://drive.google.com/file/d/1g1GhEwhxnByXVMzVK4rlQYbSdDRqNWLj/view?usp=drive_link,Sprite Sheet inimigo: Rover Corrompido,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D top-down/side-view hybrid roguelike game, matching the style of Hacking Survivors: dark 90s computer simulation, green terminal glitches, corrupted lunar colony technology, crisp pixel edges, limited color palette, readable silhouette, no blur, no painterly shading, no realistic rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking/moving to the right.
Frame 3: finishing the walking/moving step to the right.


Transparent background. Full body visible. Consistent character size and proportions across all frames. The character must face and move to the right, because the left movement will be created by flipping the sprite in Unity. Do not add text, labels, UI, shadows, scenery, or extra characters.


* Using the base instructions, generate a sprite sheet for ""ROOT Subprocess"", a smaller combat fragment of the final boss. Humanoid digital security construct, gold and black armor, sharp geometric shapes, green terminal veins, floating data shards around the body. It should look like a dangerous elite enemy but smaller than the boss. Walking frames should show an aggressive forward step to the right.",https://drive.google.com/file/d/1VWuKK87NwlPDPXdyBrFiF3r6S63n-XMW/view?usp=drive_link,Sprite Sheet inimigo: Subprocesso ROOT,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D top-down/side-view hybrid roguelike game, matching the style of Hacking Survivors: dark 90s computer simulation, green terminal glitches, corrupted lunar colony technology, crisp pixel edges, limited color palette, readable silhouette, no blur, no painterly shading, no realistic rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking/moving to the right.
Frame 3: finishing the walking/moving step to the right.


Transparent background. Full body visible. Consistent character size and proportions across all frames. The character must face and move to the right, because the left movement will be created by flipping the sprite in Unity. Do not add text, labels, UI, shadows, scenery, or extra characters.


* Using the base instructions, generate a larger boss sprite sheet for ""ROOT"", the core alien intelligence controlling the lunar simulation. Massive corrupted humanoid made of black-purple armor, gold system-core details, exposed green code streams, alien-police/security symbolism abstracted into the design, huge shoulders, glowing central core in the chest, intimidating silhouette. It must be visibly larger and more powerful than normal enemies. The 3 frames should show idle, heavy step to the right, and completing the heavy step. Transparent background, no scenery, no text.",https://drive.google.com/file/d/1UH4uX00buCL6ktt6rzhIdQMbVv-orUby/view?usp=drive_link,Sprite Sheet inimigo: Boss ROOT,Vazio,
Codex 5.5,,"Aqui estão os prompts da Fase 3, seguindo o GDD: torre de transmissão retrofuturista, tempestade de código, militarização da simulação, scanlines, jamming, broadcast e estética 16-bit.

Use este bloco base antes de cada prompt:

```text
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.

The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.

Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.
```

**Soldado de Contenção**
```text
Using the base instructions, generate ""Containment Soldier"", a disciplined cyber-military puppet guarding the Uplink perimeter. Dark tactical uniform, compact armor pads, green glowing visor, rigid posture, subtle terminal-code corruption on the seams, not a zombie and not Rex. The walk should feel controlled and trained, with a slight flanking/aggressive lean to the right.
```

**Operador de Sinal**
```text
Using the base instructions, generate ""Signal Operator"", a weak support technician corrupted by the Uplink. Human technician with dark utility uniform, bulky backpack radio, broken antennas, cables around the shoulders, green signal waves leaking from the equipment, anxious but controlled posture. Different face and body from Rex. The movement should look like he is keeping distance while adjusting his radio gear.
```

**Drone Relay**
```text
Using the base instructions, generate ""Relay Drone"", a small fast flying transmission drone. Compact body made of circuit-board plates, small rotors or simplified wings, cyan trail hints, green blinking nodes, exposed antenna fins. The 3 frames should show hovering motion to the right with slight tilt and rotor/wing position changes.
```

**Atirador de Pacotes**
```text
Using the base instructions, generate ""Packet Gunner"", a humanoid long-range data shooter. Cyber-military agent with a data rifle, reticle-shaped visor, dark blue-gray armor, green code blocks stored as ammo cartridges, disciplined ranged stance. Frame 2 and 3 should show a lateral tactical step to the right while holding the rifle ready.
```

**Repetidor Ambulante**
```text
Using the base instructions, generate ""Walking Repeater"", a support enemy that amplifies nearby ranged units. Humanoid body carrying tall antennas on the back, cyan pulse rings suggested around the device, cables dragging from the waist to the ground, dark tech uniform, green broadcast lights. It should look slower and more equipment-heavy than a soldier. Walking frames should show the antenna pack swaying.
```

**Jammer Pesado**
```text
Using the base instructions, generate ""Heavy Jammer"", a slow tank enemy that blocks space and weakens Rex's attacks. Large bulky armor, wide silhouette, heavy coils and antennas on shoulders, magenta electric sparks, chest screen showing noise bars, dark metal and gray plates with green corruption. The walking frames should feel heavy, slow, and oppressive.
```

**Caçador de Frequência**
```text
Using the base instructions, generate ""Frequency Hunter"", an elite tactical hunter. Lean cyber-military body, spectral visor, signal blade attached to one arm, white and cyan slash trail accents, dark agile armor, green frequency markings. It should look fast and predatory, not bulky. Frames should show a sharp step/dash preparation to the right.
```

**Torre Sentinela**
```text
Using the base instructions, generate ""Sentinel Tower"", a stationary armed mini-antenna turret. It is not humanoid. Fixed base attached to the floor, rotating antenna cannon, red targeting light, dark metal panels, green code scratches, small cyan signal modules. Since it does not walk, use the 3 frames as idle, aiming rotation to the right, and finishing the aiming movement to the right.
```

**Feixe de Transmissão**
```text
Using the base instructions, generate ""Transmission Beam"", a moving beam hazard enemy. It should be a vertical or horizontal column of green-cyan transmission light with scanline borders, distorted terminal characters, glitch fragments, and bright energy core. It is not humanoid. The 3 frames should show the beam moving to the right, with changing scanlines and distorted edges.
```

**Protocolo Anti-Override**
```text
Using the base instructions, generate ""Anti-Override Protocol"", a heavy elite suppression unit. White and gray cyber armor, rectangular data shield, lock symbols integrated into armor shapes but no readable text, cables connected to side antennas, green blocking fields, stern artificial posture. The walk should be slow and anchored, as if preparing to deploy a suppression pulse.
```

**Boss UPLINK_SENTINEL**
```text
Using the base instructions, generate a larger boss sprite sheet for ""UPLINK_SENTINEL"", the maximum-security protocol guarding the transmission channel. Massive cyber-defense construct with three visible defensive layers or rings, central antenna core, dark blue/black armor, cyan and green broadcast energy, red warning targeting lights, scanline distortion, exposed protocol plates. It should look like a boss, much larger and more complex than normal enemies. The 3 frames should show idle, heavy movement/rotation to the right, and finishing the movement, with the rings and antenna core shifting between frames.
```",,"Agora faça os prompts para que eu gere a arte dos inimigos da fase 3 no nano banana pro. Seguindo aquela ideia de 3 frames (Idle, andando, terminando o movimento), a animação do personagem andando depois no jogo vai usar os 3 frames. Use o gdd da fase 3 para identificar os inimigos e estilos",
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.


Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.


* Using the base instructions, generate ""Containment Soldier"", a disciplined cyber-military puppet guarding the Uplink perimeter. Dark tactical uniform, compact armor pads, green glowing visor, rigid posture, subtle terminal-code corruption on the seams, not a zombie and not Rex. The walk should feel controlled and trained, with a slight flanking/aggressive lean to the right.",https://drive.google.com/file/d/1JLUgFkMYkfibjCmhN2KMxSpDogaZ-waC/view?usp=drive_link,Sprite Sheet inimigo: Soldado de Contenção,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.


Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.


* Using the base instructions, generate ""Signal Operator"", a weak support technician corrupted by the Uplink. Human technician with dark utility uniform, bulky backpack radio, broken antennas, cables around the shoulders, green signal waves leaking from the equipment, anxious but controlled posture. Different face and body from Rex. The movement should look like he is keeping distance while adjusting his radio gear.


",https://drive.google.com/file/d/1nWHuLjQA7YdwT9zjVhXZlZu5Tvgb-rtG/view?usp=drive_link,Sprite Sheet inimigo: Operador de Sinal,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.

The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.

Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.

* Using the base instructions, generate ""Relay Drone"", a small fast flying transmission drone. Compact body made of circuit-board plates, small rotors or simplified wings, cyan trail hints, green blinking nodes, exposed antenna fins. The 3 frames should show hovering motion to the right with slight tilt and rotor/wing position changes.
",https://drive.google.com/file/d/1BPwitNxMK-o0K4ppCOAf47mOPFvlG8fe/view?usp=drive_link,Sprite Sheet inimigo: Drone Relay,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.


Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.


* Using the base instructions, generate ""Packet Gunner"", a humanoid long-range data shooter. Cyber-military agent with a data rifle, reticle-shaped visor, dark blue-gray armor, green code blocks stored as ammo cartridges, disciplined ranged stance. Frame 2 and 3 should show a lateral tactical step to the right while holding the rifle ready.",https://drive.google.com/file/d/1OLkbojgBTFrxoATNUW4UZV5xsKsJIDCD/view?usp=drive_link,Sprite Sheet inimigo: Atirador de Pacotes,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.


Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.


* Using the base instructions, generate ""Walking Repeater"", a support enemy that amplifies nearby ranged units. Humanoid body carrying tall antennas on the back, cyan pulse rings suggested around the device, cables dragging from the waist to the ground, dark tech uniform, green broadcast lights. It should look slower and more equipment-heavy than a soldier. Walking frames should show the antenna pack swaying.",https://drive.google.com/file/d/1t1OcJYVJdFDQK4iKifRqa5PCfTaDMN_X/view?usp=drive_link,Sprite Sheet inimigo: Repetidor Ambulante,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.


Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.


* Using the base instructions, generate ""Heavy Jammer"", a slow tank enemy that blocks space and weakens Rex's attacks. Large bulky armor, wide silhouette, heavy coils and antennas on shoulders, magenta electric sparks, chest screen showing noise bars, dark metal and gray plates with green corruption. The walking frames should feel heavy, slow, and oppressive.",https://drive.google.com/file/d/1cRo38COLeMGaqMlwAN3Af-wDRw2g2kUS/view?usp=drive_link,Sprite Sheet inimigo: Jammer Pesado,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.


Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.


* Using the base instructions, generate ""Frequency Hunter"", an elite tactical hunter. Lean cyber-military body, spectral visor, signal blade attached to one arm, white and cyan slash trail accents, dark agile armor, green frequency markings. It should look fast and predatory, not bulky. Frames should show a sharp step/dash preparation to the right.",https://drive.google.com/file/d/13CXzG3IsXKShr-4XTKGht32atiLzRIcY/view?usp=drive_link,Sprite Sheet inimigo: Caçador de Frequência,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.

The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.

Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.

* Using the base instructions, generate ""Sentinel Tower"", a stationary armed mini-antenna turret. It is not humanoid. Fixed base attached to the floor, rotating antenna cannon, red targeting light, dark metal panels, green code scratches, small cyan signal modules. Since it does not walk, use the 3 frames as idle, aiming rotation to the right, and finishing the aiming movement to the right.
",https://drive.google.com/file/d/1llPXYf4OKZqTswaXbq88YBpBGd6-Il0W/view?usp=drive_link,Sprite Sheet inimigo: Torre Sentinela,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.


Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.


* Using the base instructions, generate ""Transmission Beam"", a moving beam hazard enemy. It should be a vertical or horizontal column of green-cyan transmission light with scanline borders, distorted terminal characters, glitch fragments, and bright energy core. It is not humanoid. The 3 frames should show the beam moving to the right, with changing scanlines and distorted edges.",https://drive.google.com/file/d/1xhYX1368QVb7HzsmveT8jZIpE9k1r9Oy/view?usp=drive_link,Sprite Sheet inimigo: Feixe de Transmissão,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.

The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.

Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.



*Using the base instructions, generate ""Anti-Override Protocol"", a heavy elite suppression unit. White and gray cyber armor, rectangular data shield, lock symbols integrated into armor shapes but no readable text, cables connected to side antennas, green blocking fields, stern artificial posture. The walk should be slow and anchored, as if preparing to deploy a suppression pulse.",https://drive.google.com/file/d/1nv23f-xcGq0p9xsKbmU7LZpqkH_e7IQa/view?usp=drive_link,Sprite Sheet inimigo: Protocolo Anti-Override,Vazio,
Flow Studio Nano Banana,"* Base Instructions: 
Create a 16-bit pixel art sprite sheet for a 2D roguelike survivor game. The style must match Hacking Survivors: retro 90s computer simulation, dark green terminal code, corrupted transmission tower, scanlines, radio interference, cyber-military simulation, crisp pixel edges, limited readable palette, no blur, no painterly rendering.


The sprite sheet must have exactly 3 frames arranged horizontally in one row:
Frame 1: idle pose.
Frame 2: walking or moving to the right.
Frame 3: finishing the walking or moving step to the right.


Transparent background. Full body visible. Consistent size and proportions across all frames. Character must face and move to the right, because left movement will be created by flipping the sprite in Unity. Do not add text, UI, labels, scenery, shadows, or extra characters.


* Using the base instructions, generate a larger boss sprite sheet for ""UPLINK_SENTINEL"", the maximum-security protocol guarding the transmission channel. Massive cyber-defense construct with three visible defensive layers or rings, central antenna core, dark blue/black armor, cyan and green broadcast energy, red warning targeting lights, scanline distortion, exposed protocol plates. It should look like a boss, much larger and more complex than normal enemies. The 3 frames should show idle, heavy movement/rotation to the right, and finishing the movement, with the rings and antenna core shifting between frames.
",https://drive.google.com/file/d/16iVGx-MTKcp-lRaJPA6zwrg9djhPq-p7/view?usp=drive_link,Sprite Sheet inimigo: Boss UPLINK_SENTINEL,Vazio,
