,,,,,
Tabela com Modelos e Prompts utilizados para gerações,,,,,
Modelo,Prompt,Resultado,Personagen/Objeto,Observação,
Flow Studio Nano Banana,"A 2D character animation sprite sheet rendered in the rich, hand-painted digital art style with bold outlines and deep painterly textures, strictly matching the character design from the reference image.

The Character (Capitã Maré Alta):
The subject is the pirate captain with voluminous red hair, tricorn hat, and maroon coat, holding her cutlass.

The Animation Sequence (Idle - Looking Around):
The sheet displays 3 distinct frames arranged in a grid on a solid white background, creating a seamless looping ""looking around"" idle animation:

Frame 1 (Center Base): Capitã Maré Alta stands in her base pose, looking directly forward. Her chest rises slightly with a breath. Her voluminous red hair rests naturally around her face.

Frame 2 (Look Right): Her head turns smoothly to her right (viewer's right), scanning the horizon. The tricorn hat and her large mass of red hair shift slightly with the movement. Her eyes are directed to the right.

Frame 3 (Look Left): Her head turns smoothly from the right position all the way to her left (viewer's left). Her hair shifts dynamically to follow the head turn. Her eyes are directed to the left.

Technical Details:
The frames are evenly spaced. The lighting and shadows remain consistent across all three poses, highlighting the fabric of her coat and the texture of her hair. The animation should feel natural and observant.",https://drive.google.com/file/d/1LdXUEaDfFL3JZJ-rKBhlIRZFrJKW73tr/view?usp=drive_link,Sprite sheet: Capitã maré alta,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um sprite sheet da personagem capitã maré alta, para uma animação de estado Idle, olhando para os lados com a cabeça. O sprite sheet deve ter 3 imagens da animação.",
Flow Studio Nano Banana,"A full-body 2D character sprite illustration rendered in a rich, hand-painted digital art style with bold, expressive black outlines and deep, painterly textures. The aesthetic, volumetric lighting, and detailed material rendering must strictly match the character reference.

The Character (Pirate Village Patron):
The subject is a common pirate villager, currently a patron at a bar. He looks weathered, scruffy, and slightly tipsy.

Appearance & Face: He is a middle-aged or older sea-dog with a grizzled, salt-and-pepper beard and unkempt hair tucked under a faded bandana. He has a prominent, reddish nose (suggesting frequent rum consumption) and a goofy, relaxed, slightly drunken grin, perhaps missing a tooth.

Attire & Texture: His clothing is practical and heavily worn, showing distinct textures. He wears a faded, horizontal striped shirt (dirty white and blue) under a patched, rough leather vest that has lost its shine. He wears baggy canvas trousers tucked into old, scuffed sea boots.

Pose & Prop: He stands in a relaxed, slightly slouching pose. In one hand, he holds up a large, overflowingly full wooden tankard with metal bands, as if about to take a drink or making a toast. His other hand might be hooked into his belt.

Lighting & Background:
The character is lit with the same soft, volumetric studio lighting seen in the reference, highlighting the rough weave of his shirt, the worn leather of his vest, and the foam on his drink. The background is solid white.",https://drive.google.com/file/d/1ZBaB4wmy6Ak4B0daxy0S8D4HAeyJG_2J/view?usp=drive_link,NPC: pirata do bar em pé,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um personagem npc pirata morador da vila que está frequentando um bar. Ele deve estar em um fundo branco.

E o estilo de arte deve ser condizente com o do personagem PinkBob também enviado na imagem.",
Flow Studio Nano Banana,"A 3-frame 2D character animation sprite sheet rendered in the rich, hand-painted digital art style with deep, painterly textures and volumetric lighting, strictly matching the design and aesthetic of the Pirate Village Patron NPC defined previously.

The Character:
The subject is the grizzled, scruffy pirate patron with the striped shirt, leather vest, and bandana, holding the large wooden tankard.

The Animation Sequence (Taking a Drink):
The sheet displays 3 distinct frames arranged horizontally on a solid white background, depicting the action of drinking:

Frame 1 (Preparation): The pirate stands in his base relaxed pose, holding the full, frothy tankard steadily in front of his chest, looking at it with anticipation.

Frame 2 (Drinking - Apex): His arm is raised high, tilting the tankard sharply against his open mouth. His head is tilted back. The liquid/foam is visible at the rim touching his lips, and his throat muscles might be tensed slightly.

Frame 3 (Satisfaction/Recovery): The tankard is lowered back down to chest level (slightly lower than Frame 1). With his free hand, he is wiping residue foam from his beard/mustache with the back of his hand. He has a wide, satisfied, drunken grin.

Technical Details:
The lighting remains consistent across all frames, highlighting the shifting textures of his clothing and the foam in the tankard as he moves. The poses create a clear beginning, middle, and end to the drinking action.",https://drive.google.com/file/d/1t_74uDce7B0LQpn9gONHSWR7ll4NhE2B/view?usp=drive_link,Sprite sheet do npc pirata do bar,Agora eu preciso do prompt para o sprite sheet desse mesmo personagem tomando a bebida em 3 frames,
Gemini,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um personagem npc pirata morador da vila que está frequentando um bar, ele está sentado. Ele deve estar em um fundo branco. E a cadeira não deve estar presente, ele está sentado no ar, como se estivesse sentado em uma cadeira invisivel.

E o estilo de arte deve ser condizente com o do personagem PinkBob também enviado na imagem.",https://drive.google.com/file/d/1omasdfQwY1XzbueylwMquFPCyVBcNhwq/view?usp=drive_link,NPC Bar sentado,Gemini gerou direto ao invés de fazer o prompt,
Flow Studio Nano Banana,"A 3-frame 2D character animation sprite sheet rendered in a rich, hand-painted digital art style with bold, expressive black outlines and deep, painterly textures. The aesthetic must strictly match the character reference and the previous generated sitting pirate.

The Character:
The subject is the grizzled pirate villager (striped shirt, leather vest, bandana) in a sitting position on an invisible chair (legs bent at 90 degrees, floating).

The Animation Sequence (Conversation Gestures):
The sheet displays 3 distinct frames arranged horizontally on a solid white background, creating a looping conversation animation:

Frame 1 (Engaged): The pirate sits in his base pose, leaning slightly forward. His free hand (the one not holding a drink, or if empty-handed, his right hand) is resting near his knee, but his head is turned slightly as if listening.

Frame 2 (Talking/Gesture): He is in the middle of speaking. His mouth is open. His free hand is raised in an emphatic ""storytelling"" gesture (palm open or finger pointing). His eyebrows are raised expressively.

Frame 3 (Reaction/Nod): He leans back slightly. His hand moves to a different position (perhaps palm up in a shrug or touching his chest). His head tilts in a nod, bridging the animation back to the start.

Technical Details:
The lighting is volumetric and consistent. The ""invisible chair"" pose is maintained perfectly across all frames so he stays grounded in the same spot while his upper body moves.",https://drive.google.com/file/d/1jZxfk1yXcA3lj5zuiXJwaMaMeRAoy14w/view?usp=drive_link,Sprite sheet do npc sentado conversando,Agora eu preciso do prompt para o sprite sheet desse mesmo personagem gesticulando uma conversa em 3 frames,
Flow Studio Nano Banana,"A 3-frame 2D character animation sprite sheet rendered in a rich, hand-painted digital art style with bold, expressive black outlines and deep, painterly textures. The aesthetic and volumetric lighting must strictly match the established character style of the game [referência ao estilo PinkBob] and the specific design of the sitting pirate NPC previously generated.

The Character:
The subject is the grizzled pirate villager (striped shirt, leather vest, bandana, holding a wooden tankard) maintained in his distinct sitting position on an invisible chair (legs bent at 90 degrees, floating in mid-air).

The Animation Sequence (Drinking Rum):
The sheet displays 3 distinct frames arranged horizontally on a solid white background, creating a clear drinking action sequence:

Frame 1 (Preparation/Anticipation): The pirate sits in his base pose, holding the full wooden tankard steadily with both hands (or one hand supporting the bottom) just below his chin, looking down at the drink expectantly.

Frame 2 (The Drink/Apex): His arms raise the tankard high, tilting it sharply against his open mouth. His head tilts back significantly to drink. Foam or liquid is visible at the rim. His lower body remains perfectly still in the sitting pose.

Frame 3 (Satisfaction/Recovery): The tankard is lowered back down to rest on his knee or held loosely at chest level. He has a satisfied, Perhaps slightly drunken grin, possibly wiping his mouth with the back of his free hand.

Technical Details:
The volumetric lighting remains consistent across all frames, highlighting the shifting textures of his clothing and the tankard as he moves. The ""invisible chair"" sitting center of gravity is maintained perfectly throughout the upper body movement.",https://drive.google.com/file/d/1Mxm0kRAcMWNOTmJUXM9d_lv9Fjo_kGrk/view?usp=drive_link,Sprite sheet do npc sentado tomando cerveja,Agora eu preciso do prompt para o sprite sheet desse mesmo personagem tomando rum em 3 frames,
Gemini,"Aqui está o prompt para o **NPC Pirata Louco** em posição fetal.

Este prompt foi desenhado para criar um personagem visualmente distinto que transmite sua ""loucura"" através da pose e de detalhes excêntricos em sua aparência, mantendo rigorosamente o estilo de pintura rico e volumétrico da referência do PinkBob. A posição fetal é descrita para parecer que ele está encolhido no chão (ou flutuando ligeiramente sobre o fundo branco, como um sprite).

---

**Prompt:**

A full-body 2D character sprite illustration rendered in a rich, hand-painted digital art style with bold, expressive black outlines and deep, painterly textures, strictly matching the aesthetic and volumetric lighting of the character reference.

**The Character (The ""Crazy"" Pirate Patron):**
The subject is a deranged pirate NPC, a known eccentric from the bar. He is huddled tightly on the ground (floating slightly above the white background to appear grounded) in a complete fetal position.

* **Pose:** His knees are pulled up sharply against his chest. His arms are wrapped tightly around his shins, hugging himself tightly. His head is tucked down but turned slightly sideways, allowing one wild eye to stare out intensely.
* **Appearance & ""Crazy"" Details:** He looks disheveled and manic. His hair is a tangled, matted mess, perhaps with strange items like a fish bone or a rusted spoon stuck in it. His clothes are mismatched rags—a torn, oversized coat that's too big, patched trousers, and maybe only one boot. His visible eye is wide and unblinking, with a tiny pupil, conveying paranoia or madness. He might have a nervous, twitchy grin.
* **Accessories:** Strange, nonsensical trinkets hang from his belt or are tied to his clothes with twine: a dried starfish, a broken compass, a doll's head.

**Lighting & Background:**
The lighting is soft and volumetric, highlighting the rough textures of his tattered rags and his matted hair, giving him a sculpted, painted look despite his huddled pose. The background is completely solid white.","Sem imagem, usei só o prompt",NPC: pirata louco do bar,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um personagem npc pirata louco que está frequentando um bar, ele está sentado em posição fetal. Ele deve estar em um fundo branco.

E o estilo de arte deve ser condizente com o do personagem PinkBob também enviado na imagem.",
Flow Studio Nano Banana,"A 3-frame 2D character animation sprite sheet rendered in a rich, hand-painted digital art style with bold, expressive black outlines and deep, painterly textures. The aesthetic and volumetric lighting must strictly match the established character style and the specific design of the ""Crazy Pirate Patron"" previously defined.

The Character:
The subject is the deranged pirate NPC (matted hair, rags, strange trinkets) maintained in his tight fetal position huddle on the ground.

The Animation Sequence (Suspicious/Paranoid Twitch):
The sheet displays 3 distinct frames arranged horizontally on a solid white background, creating a looping nervous animation:

Frame 1 (Base Stare): The pirate is in his base fetal pose, huddled tight. His visible wild eye is staring intently and unblinkingly toward the right side of the screen.

Frame 2 (The Paranoid Check): A sudden, jerky movement. He squeezes his huddle even tighter, hunched shoulders rising. His head snaps quickly to look over his left shoulder (checking behind him). His eye is opened sharply wider in panic.

Frame 3 (The Shudder Back): A quick nervous shudder passes through his huddled body. His head snaps back to the original position (facing right), perhaps with a rapid blink, before settling back into Frame 1.

Technical Details:
The lighting remains consistent, highlighting the grimy textures of his rags even during the twitchy movements. The core fetal pose is anchored on the ground throughout the sequence; only his head and muscle tension shift.",https://drive.google.com/file/d/1FzWw6ngbQJz6R3ZZEpMNoE5Y88pMcwyw/view?usp=drive_link,Sprite sheet pirata louco do bar,Agora eu preciso do prompt para o sprite sheet desse mesmo personagem desconfiado em 3 frames,
Flow Studio Nano Banana,"A single 2D object sprite illustration rendered in a rich, hand-painted digital art style with bold, expressive black outlines and deep, painterly textures, strictly matching the aesthetic and volumetric lighting of the character reference.

The Object (Pirate Rum Bottle):
The subject is a characteristic, seafaring rum bottle with a distinct personality.

Shape & Material: It is a squat, heavy-bottomed bottle made of dark, thick amber or green glass. The glass looks imperfect, perhaps hand-blown, with visible bubbles and a wavy texture.

Closure: It is stoppered with a rough wooden cork, sealed generously with dripping red or black wax that has hardened down the neck.

Label: A tattered, sea-stained parchment label is glued crookedly to the front, with curling edges. It features a crude, hand-drawn illustration (like a skull, a ship, or a palm tree) and faded text like ""GROG VELHO"" or ""UNITY BAR RESERVE"".

Contents: The liquid inside is dark and syrupy, partially filling the bottle.

Lighting & Background:
The object is lit with dramatic, volumetric studio lighting. A strong highlight catches the curve of the glass and the liquid inside, giving it a glossy, palpable feel, while deep shadows define its weight on the surface. The background is completely solid white.",https://drive.google.com/file/d/15m4oQ_fmjUPopgR-DXwECixIW0DHVLPx/view?usp=drive_link,Objeto: Rum,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um objeto, uma garrafa de rum. Ele deve estar em um fundo branco.

E o estilo de arte deve ser condizente com o do personagem PinkBob também enviado na imagem.",
Flow Studio Nano Banana,"A single 2D object sprite illustration rendered in a rich, hand-painted digital art style with deep, painterly textures and volumetric lighting, strictly matching the aesthetic and tactile finish of the character reference.

The Object (PinkBob's Drunken Notes):
The subject is a single, tattered scrap of paper containing frantic, mysterious notes.

The Paper: It is not clean. It's a torn, irregular piece of coarse, textured parchment or cheap paper, heavily creased, crumpled, and stained deep brown in several places from spilled rum. The edges are frayed and slightly curled. Some parts look almost translucent from being soaked in alcohol.

The Writing Style: The writing is chaotic, hurried, and barely legible, looking as if it was furiously scrawled with a blunt piece of charcoal or a grease pencil by a very unsteady hand. There are heavy smudges, fingerprints in ink/dirt, and places where the charcoal broke or tore the paper from excessive pressure. The lines are crooked and overlapping.

The Content: Scrawled across the scrap in this messy fashion are the words:
""Rum"" (written large, perhaps circled or underlined twice frantically),
""Feijões"",
""Japonês"" (barely legible),
""Bambu"",
""João"",
""Vaca"",
""Rum"" (written again at the end, trailing off the edge).

Lighting & Background:
The object is lit with warm, volumetric studio lighting that emphasizes the rough texture of the paper fibers, the depth of the creases, and the wet sheen on the darkest rum stains. The background is completely solid white.",https://drive.google.com/file/d/1QGSXwlGgZe6HPI72tFhASQ_WN_AbBrFd/view?usp=drive_link,Objeto: Anotações PinkBob,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um objeto, as anotações misteriosas de PinkBob, ela foi feita as pressas e enquanto ele estava sobre forte efeito do rum, contém os dizeres ""Rum, Feijões, Japonês, Bambu, João, Vaca, Rum"". Ele deve estar em um fundo branco.

E o estilo de arte deve ser condizente com o do personagem PinkBob também enviado na imagem.",
Flow Studio Nano Banana,"A full-body 2D character sprite illustration rendered in a rich, hand-painted digital art style with bold, expressive black outlines and deep, painterly textures. The aesthetic, volumetric lighting, and detailed material rendering must strictly match the character reference, but applied to luxurious, clean materials.

The Character (The ""Dandy"" Crewman of Barba Rosa):
The subject is a pirate crew member who is shockingly impeccably dressed, clean, and well-groomed, standing in stark contrast to the typical scruffy pirate.

Attire & Texture (Luxurious & Clean): He is dressed in finery. He wears a tailored, deep emerald green (or sapphire blue) velvet frock coat with pristine gold brocade embroidery. The lighting highlights the soft pile of the velvet and the metallic gleam of the clean gold thread. Underneath, he wears a snowy white, crisply starched ruffled shirt with a complex lace cravat (jabot), rendered with sharp, clean folds. He wears fitted, spotless cream-colored breeches and highly polished, knee-high black leather boots that gleam without a single scuff.

Grooming & Appearance: His hair is perfectly slicked back or tied in a neat queue with a ribbon. He has a perfectly waxed mustache and a neatly trimmed goatee (no stubble). His face is clean, perhaps slightly powdered, with an arrogant, haughty expression.

Pose & Accessories: He stands in a confident, slightly vain pose, perhaps adjusting one of his lace cuffs or holding a perfumed handkerchief delicately. He wears several large, clean jeweled rings.

Lighting & Background:
The character is lit with the same dramatic, volumetric studio lighting as the reference, but here it emphasizes the sheen of polished leather, the crispness of clean linen, and the richness of velvet. The background is completely solid white.",https://drive.google.com/file/d/114FSnpx_wRtdkrBwr6OqrSVMfCnE8dHN/view?usp=drive_link,NPC: Membro da tripulaçao do barba rosa,"Agora, com base no mesmo estilo e story spine do jogo, faça o prompt para um personagem npc pirata parte da tripulação do barba rosa, ele é altamente bem vestido e limpo. Ele deve estar em um fundo branco. 

E o estilo de arte deve ser condizente com o do personagem PinkBob também enviado na imagem. Não precisa copiar as roupas, elas precisam ser diferentes, o tom artistico é que deve ser mantido.",
Flow Studio Nano Banana,"A 3-frame 2D character animation sprite sheet rendered in a rich, hand-painted digital art style with deep, painterly textures and volumetric lighting. The aesthetic must strictly match the specific design of the ""Dandy Crewman of Barba Rosa"" NPC previously generated (clean velvet coat, pristine lace).

The Character:
The subject is the impeccably dressed, arrogant pirate crewman in his tailored green velvet coat with gold brocade and white ruffled shirt.

The Animation Sequence (Adjusting Collar):
The sheet displays 3 distinct frames arranged horizontally on a solid white background, depicting a fussy, vain gesture:

Frame 1 (Preparation): The pirate stands in his base, haughty pose. His right hand is just beginning to raise from his side, moving towards his neck area. His expression is neutral arrogance.

Frame 2 (The Adjustment): His right hand is now up at his neck. His thumb and forefinger are delicately grasping the lapel/collar of his velvet coat, giving it a precise, tiny tug to straighten it. His left hand might hover near the lace cravat to ensure perfection. His chin is tilted slightly upwards to allow access.

Frame 3 (Satisfaction): His hands are lowering back down towards his sides. He is looking slightly down his nose at the viewer with a smug, satisfied smirk, chin held high, displaying the now perfectly arranged collar and crisp lace.

Technical Details:
The volumetric lighting remains consistent across all frames, catching the sheen of the gold thread and the soft pile of the velvet as his hands interact with the fabric. The body remains mostly still, focusing the animation on the arm movement and slight head tilt.",https://drive.google.com/file/d/19dRIiV70RV6-xpTQpdzJovcMGdxq0KDU/view?usp=drive_link,,Agora eu preciso do prompt para o sprite sheet desse mesmo personagem ajeitando a gola do casaco em 3 frames (Junto da imagem gerada anteriormente),
Gemini,"Esta é uma excelente oportunidade para estabelecer o tom do jogo. O Papagaio Porteiro (vamos chamá-lo de **Loro da Portaria**) funciona como um ""NPC de Informação"", mas com a personalidade irritante de um funcionário burocrático que repete as coisas.

Aqui está a estrutura de diálogo, formatada para implementação.

---

### **Cena: Frente do Teatro Municipal de Porto Ressaca**

**Personagens:** PinkBob J. (De ressaca, vestindo roupas improvisadas) vs. Loro da Portaria (Um papagaio verde com um boné de porteiro e uma gravata borboleta, empoleirado em um púlpito).

**Contexto:** O teatro está fechado e cheio de lixo da festa da noite anterior. O Loro impede a entrada.

---

### **Árvore de Diálogos**

**(Ao clicar no Papagaio pela primeira vez)**

**Loro da Portaria:** *""Brrrak! Fechado! O espetáculo acabou! Circulando, circulando! E coloque uma roupa decente, isso é um Templo da Cultura, não a casa da sua mãe! Bwak!""*

**PinkBob J.:** *""Fale baixo, penoso... minha cabeça parece que foi usada como bola de canhão.""*

**(Abre-se o Menu de Opções de Resposta)**

#### **Opção 1: ""O que diabos aconteceu aqui ontem à noite?""**

> **PinkBob:** ""O que diabos aconteceu aqui ontem à noite? Eu tenho flashes de uma vaca e muito barulho...""
> **Loro da Portaria:** *""Bwak! Arte! Drama! A vanguarda do storytelling! O tal do João apresentou 'O Empreendedor e o Pé de Feijão'. Foi um sucesso de crítica! A plateia urrava de rir!""*
> **PinkBob:** ""Rir? Mas a história parecia séria nas minhas anotações...""
> **Loro da Portaria:** *""Séria? Bwak! Uma vaca que dá Rum? Galinhas de Ouro? O público achou que era Stand-Up Comedy! Ninguém acreditou numa palavra, acharam que era metáfora para a crise econômica! Bwak! Gênios incompreendidos!""*

#### **Opção 2: ""Você viu um pirata alto, bem vestido e com cheiro insuportável de lavanda?"" (Desbloqueia info sobre o Tio)**

> **PinkBob:** ""Você viu um sujeito... o meu tio... Barba Rosa? Ele estava aqui?""
> **Loro da Portaria:** *""O Pavãozinho? Bwak! Vi sim! Foi o único que não riu. Ele estava na primeira fila, anotando tudo num iPad de pedra sabão.""*
> **PinkBob:** ""Ele acreditou na história?""
> **Loro da Portaria:** *""Acreditou? Os olhos dele brilharam mais que moeda falsa! Bwak! Quando o João falou das Galinhas de Ouro, o Barba Rosa saiu correndo. Derrubou a pipoca e saiu gritando 'Oportunidade de Investimento!'. Aquele lá não foi dormir, foi caçar tesouro!""*

#### **Opção 3: ""Onde eu encontro esse tal de João agora?"" (Avança a Quest)**

> **PinkBob:** ""Eu preciso falar com o roteirista dessa loucura. Onde está o João?""
> **Loro da Portaria:** *""Vida boa! Vida mansa! Bwak! Com o dinheiro da bilheteria ele foi se hospedar no luxo.""*
> **PinkBob:** ""Luxo? Nesta ilha?""
> **Loro da Portaria:** *""No Hotel 'Descanso do Marujo'. Aquele que tem lençóis que não pinicam. Ele tá na Suíte Presidencial, gastando tudo em serviço de quarto e minibar. Se for lá, leva um biscoito pra mim? Bwak!""*

#### **Opção 4: ""Vou transformar você em nuggets se não me deixar entrar."" (Flavor text / Humor)**

> **PinkBob:** ""Sai da frente ou você vira aperitivo de pirata.""
> **Loro da Portaria:** *""Bwak! Ameaça ao funcionário! Sindicato! Sindicato! Vou chamar a gaivota da segurança! Tenta a sorte, 'Barba Falhada'!""*
> *(PinkBob apenas suspira e desiste da violência)*.

---

### **Resumo das Informações Obtidas (Quest Log Atualizado)**

Ao terminar o diálogo (especialmente as opções 2 e 3), o item ""Anotações Bêbadas"" no inventário de PinkBob é atualizado automaticamente:

* ~~Rum~~ (Riscado)
* ~~João~~ -> **Está no Hotel ""Descanso do Marujo"".**
* ~~Vaca de Rum~~ -> **É uma lenda (ou stand-up?) que ninguém acredita.**
* **NOVO:** Tio Barba Rosa acreditou e já está na frente.

### **Sugestão de Animação / Feedback Visual**

* Quando o papagaio fala do Barba Rosa (""O Pavãozinho""), ele pode fazer um gesto de alisar uma barba imaginária com a asa.
* Quando fala do ""Descanso do Marujo"", ele aponta uma asa para a direita da tela (liberando o acesso ao mapa/nova área).

---

**Próximo Passo Sugerido:**
Agora que sabemos para onde ir, gostaria de descrever o **Cenário e o Puzzle de entrada** do Hotel ""Descanso do Marujo""? (Provavelmente PinkBob não tem dinheiro ou roupas adequadas para entrar na recepção).",Texto usado para basear o diálogo,Diálogo: Papagaio,"Preciso que você gere as falas e opções de diálogo com um papagaio.
Este papagaio é o porteiro do teatro, onde na noite anterior PinkBob ouviu a história maluca de joão.
Este papagaio deve dar uma pista de que joão estava hospedado no hotel local da vila ""Descanso Do Marujo"", e que a peça dele ontem havia sido um sucesso, mas ninguém acreditou na peça, talvez apenas o Barba Rosa, já que o papagaio o viu sair depresa e com cara de quem iria atrás de um tesouro.",
Gemini,"O Gemini disse
Excelente. Vamos criar o diálogo para o George, o Corsário.

A chave para esse personagem é o contraste: PinkBob é prático e ""povão"", enquanto George fala como se tivesse engolido um dicionário de sinônimos do século 18 para tentar parecer inteligente (o que o torna ridículo).

Cena: O Porto (Cais Principal)
Personagens: PinkBob J. vs. George (Um pirata vestido com roupas de veludo exageradas, um monóculo e uma postura excessivamente ereta).
Cenário: Ao fundo, vê-se o imponente navio da Capitã Maré Alta (um navio com carrancas agressivas e canhões enormes). O navio do Tio Barba Rosa não está lá.

Diálogo Inicial (Ao clicar em George)
George: ""Alto lá, indíviduo de linhagem questionável! Mantenha a distância regulamentar de dois metros para não impregnar meu veludo importado com esse... aroma de fermentação barata.""

PinkBob: ""George? É você? Achei que você fosse um cabide de roupas falante.""

George: ""Sou eu, o Imediato Executivo Sênior de Relações Públicas do seu tio. E trago uma missiva verbal de extrema urgência e confidencialidade.""

Árvore de Diálogos (Opções)
1. ""Cadê o meu tio? Ele me deve uma bússola (e umas calças).""
PinkBob: ""Corta o papo furado, George. Cadê o Barba Rosa? Ele levou minha bússola e eu preciso... hã... 'navegar'.""

George: ""O Ilustríssimo Capitão Barba Rosa já empreendeu sua retirada estratégica rumo a horizontes de maior liquidez financeira. Ele zarpou em busca das aves de plumagem áurea mencionadas no colóquio dramático de ontem.""

PinkBob: ""Ele foi atrás das galinhas de ouro, né?""

George: ""Sua capacidade de simplificar a complexidade do empreendedorismo pirata é... deprimente. Sim. Ele foi maximizar os lucros. E você não foi convidado para a fusão corporativa.""

2. ""Belo barco. Aquele ali atrás é do Tio ou ele fez um downgrade?""
PinkBob: ""Aquele navio ali atrás... é do tio? Parece meio... agressivo demais para o gosto dele.""

George: ""Que ultraje! Que calúnia estética! Aquela banheira flutuante de agressividade desmedida pertence à bárbara conhecida como Capitã Maré Alta. O iate do seu tio possui linhas muito mais... ergonômicas e sofisticadas.""

PinkBob: ""Então ele já foi mesmo? E deixou você a pé?""

George: ""Não estou 'a pé'. Estou em 'trânsito terrestre tático'. E não ouse tocar na embarcação da Maré Alta, ela tem o péssimo hábito de decapitar antes de perguntar.""

3. ""Se a missão é tão importante, por que você ficou para trás?""
PinkBob: ""Se essas galinhas são tão valiosas, por que o 'Imediato Executivo' está aqui parado no porto conversando com o sobrinho bêbado?""

George: ""Fui incumbido de uma tarefa de gestão de crise. A mensagem do seu tio é clara e cristalina: 'Diga ao meu sobrinho para exercer sua atividade principal: a inércia etílica'.""

PinkBob: ""Ele quer que eu beba?""

George: ""Exatamente. O CEO Barba Rosa solicita encarecidamente que vossa senhoria permaneça em Porto Ressaca, degustando os elixires locais, e não interfira nos negócios da família. Fique aqui. Beba. Não nos atrapalhe. É o seu... core business, não é?""

4. ""Você ouviu falar de um tal de João? O cara da peça de ontem?""
PinkBob: ""O papagaio do teatro disse que um tal de João sabe onde fica o pé de feijão. Você viu ele?""

George: (Fica visivelmente nervoso, ajeita o monóculo) ""O dramaturgo falido? Hã... indubitavelmente não! Aquele charlatão das artes cênicas certamente já se evadiu para... para o Arquipélago das Ostras Silenciosas!""

PinkBob: ""Tem certeza? Me disseram que ele estava no hotel...""

George: ""Fake News! Falácias do vulgo! Ele partiu! Foi exilado! Evaporou-se! Não perca seu tempo investigando hotéis locais, seria um desperdício de energia calórica. Volte para o bar, vá!""

Consequências do Diálogo
Pista Confirmada: A reação exagerada de George na Opção 4 confirma para o jogador que João está, de fato, por perto e que George está tentando esconder isso.

Bloqueio: Se o jogador tentar subir no barco da Capitã Maré Alta, George grita um aviso pomposo impedindo a ação (ou a própria Maré Alta aparece na janela e joga um balde de água, mas isso é outra cena).

Narrativa: Estabelece que o Tio Barba Rosa vê PinkBob como um estorvo, o que motiva o jogador a provar o contrário (Spite-driven motivation).

Próximo Passo Sugerido:
Agora que PinkBob sabe que João está no hotel e George tentou despistá-lo, o próximo passo lógico é ir até o Hotel.
Você gostaria de detalhar o Puzzle do Hotel ""Descanso do Marujo""? (Onde o jogador precisa entrar na suíte de João, mas provavelmente será barrado na recepção por não ter dinheiro ou ""status"").",Texto usado para basear o diálogo,Diálogo: NPC George,"Preciso que você gere as falas e opções de diálogo com George (O Corsário de Barba Rosa).

O jogador (pinkbob) vai encontro-lo no porto, próximo a um barco (Barco da Capitã Maré Alta), que não é do barba rosa, pois ele já partiu.
George ficou para trás para entregar uma mensagem do tio Barba Rosa, ele veio pedir que PinkBob fique em porto ressaca, tomando rum como ele sempre faz, pois Barba Rosa quer resolver um assunto com urgência e apreciaria muito que o sobrinho não lhe atrapalhasse.
George tem uma personalidade metida e ele busca falar com o linguagar mais refinado e complicado o possível.

Entre as opções de diálogo devem incluir:
1- PinkBob perguntar cade o tio.
2- PinkBob perguntar de quem é esse navio atrás dele.
3- Perguntar porque o George ficou para trás se a missão era tão importante.
4- Perguntar se ele ouviu falar de um tal de João. (George tenta atrapalhar pinkbob aqui)",
